Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Recurring Rule
Triple Goddess Day,2025-01-06,,2025-01-06,,TRUE,"Celebrates the Goddess in Her triplicate form, representing the three stages of life: Maiden, Mother, and Crone. Honors her wisdom and transformative power.","RRULE:FREQ=YEARLY"
Thorrablot,2025-01-14,,2025-01-14,,TRUE,"Norse/Heathen festival honoring Thor, the God of Thunder.","RRULE:FREQ=YEARLY"
Day of Danu,2025-01-18,,2025-01-18,,TRUE,"Celtic celebration of the Great Goddess Danu who shows the way.","RRULE:FREQ=YEARLY"
🟢 Celtic Tree Month of Rowan Begins,2025-01-21,,2025-01-21,,TRUE,"The Rowan tree symbolizes protection, wisdom, and transformation in Celtic traditions.","RRULE:FREQ=YEARLY"
Disablot,2025-01-31,,2025-01-31,,TRUE,"A Norse celebration marking the start of a new season, dedicated to female deities and spirits for prosperity, fertility, and protection.","RRULE:FREQ=YEARLY"
🔥 Imbolc (High Winter),2025-02-01,,2025-02-02,,TRUE,"A festival honoring the Goddess Brigid, symbolizing purification and the gradual return of light.","RRULE:FREQ=YEARLY"
Candlemas,2025-02-02,,2025-02-02,,TRUE,"A Christian observance marking the presentation of Jesus at the Temple, often associated with the blessing of candles.","RRULE:FREQ=YEARLY"
Valentine’s Day,2025-02-14,,2025-02-14,,TRUE,"A day dedicated to love and affection between intimate partners.","RRULE:FREQ=YEARLY"
Lupercalia,2025-02-15,,2025-02-15,,TRUE,"An ancient Roman festival celebrating purification and fertility.","RRULE:FREQ=YEARLY"
🟢 Celtic Tree Month of Ash Begins,2025-02-18,,2025-02-18,,TRUE,"The Ash tree symbolizes growth, connection, and deep wisdom in Celtic traditions.","RRULE:FREQ=YEARLY"
Cake Day,2025-02-28,,2025-02-28,,TRUE,"A special day to offer cakes to the deities and light candles in honor of ancestors, celebrating their presence and wisdom.","RRULE:FREQ=YEARLY"
Matronalia,2025-03-01,,2025-03-01,,TRUE,"An ancient Roman festival dedicated to Juno, the goddess of marriage and childbirth.","RRULE:FREQ=YEARLY"
International Women’s Day,2025-03-08,,2025-03-08,,TRUE,"A global day celebrating the social, economic, cultural, and political achievements of women.","RRULE:FREQ=YEARLY"
